id	assigned_topic	topic_label	lang
Erb_1875	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1876	0	0_fate_weaving_wind_song	cs
Erb_1877	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1878	0	0_fate_weaving_wind_song	cs
Erb_1879	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1882	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1883	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1884	0	0_fate_weaving_wind_song	cs
Erb_1887	0	0_fate_weaving_wind_song	cs
Erb_1890	0	0_fate_weaving_wind_song	cs
Erb_1893	34	34_maids_husband home_husband_heaven	cs
Erb_1894	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1895	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1896	0	0_fate_weaving_wind_song	cs
Erb_1897	15	15_bridegroom_altar_bridesmaids_maid	cs
Erb_1898	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1905	0	0_fate_weaving_wind_song	cs
Erb_1907	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1909	0	0_fate_weaving_wind_song	cs
Erb_1910	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1915	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1917	0	0_fate_weaving_wind_song	cs
Erb_1918	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1924	0	0_fate_weaving_wind_song	cs
Erb_1928	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1929	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1930	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1931	0	0_fate_weaving_wind_song	cs
Erb_1932	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1934	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1940	0	0_fate_weaving_wind_song	cs
Erb_1942	0	0_fate_weaving_wind_song	cs
Erb_1943	34	34_maids_husband home_husband_heaven	cs
Erb_1944	0	0_fate_weaving_wind_song	cs
Erb_1945	0	0_fate_weaving_wind_song	cs
Erb_1946	34	34_maids_husband home_husband_heaven	cs
Erb_1948	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1950	0	0_fate_weaving_wind_song	cs
Erb_1951	0	0_fate_weaving_wind_song	cs
Erb_1952	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1955	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1957	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1958	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1959	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1967	34	34_maids_husband home_husband_heaven	cs
Erb_1968	34	34_maids_husband home_husband_heaven	cs
Erb_1969	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1970	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1972	34	34_maids_husband home_husband_heaven	cs
Erb_1973	0	0_fate_weaving_wind_song	cs
Erb_1974	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	cs
Erb_1978	0	0_fate_weaving_wind_song	cs
Erb_1979	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_1980	0	0_fate_weaving_wind_song	cs
Erb_1981	27	27_parting_maiden_fair maiden_wreath	cs
Erb_1982	0	0_fate_weaving_wind_song	cs
Erb_1984	34	34_maids_husband home_husband_heaven	cs
Erb_1987	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1988	0	0_fate_weaving_wind_song	cs
Erb_1989	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1991	0	0_fate_weaving_wind_song	cs
Erb_1992	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_1993	0	0_fate_weaving_wind_song	cs
Erb_1994	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_1995	0	0_fate_weaving_wind_song	cs
Erb_1997	0	0_fate_weaving_wind_song	cs
Erb_1999	34	34_maids_husband home_husband_heaven	cs
